Batsman,Strike_Rate
HE van der Dussen,131.96
KR Sen,15.38
Salman Butt,112.98
Umar Gul,103.2
TU Deshpande,115.78
MN van Wyk,125.94
DAJ Bracewell,154.35
A Kamboj,92.3
Shoaib Malik,127.56
S Kaushik,0.0
T Henderson,142.9
Kamran Khan,122.22
KAJ Roach,113.46
Virat Singh,127.42
A Chopra,91.25
Simarjeet Singh,69.23
M Theekshana,69.95
L Ablish,50.0
P Dubey,99.3
S Tyagi,71.42
AN Ghosh,100.0
P Ray Barman,105.0
BE Hendricks,86.99
TP Sudhindra,94.93
C Ganapathy,94.87
DJ Muthuswami,52.38
